Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
 Timestamp,FIT101,LIT101, MV101,P101,P102, AIT201,AIT202,AIT203,FIT201, MV201, P201, P202,P203, P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302, MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
 31/12/2015 1:17:07 AM,2.423854,494.8595,2,2,1,190.6562,8.563381,321.3535,2.447186,2,1,1,2,1,2,1,19.95646,2.200942,826.8313,1,2,1,1,1,2,148.808,149.0643,1.718515,869.3925,1,2,1,1,2,7.761664,142.0918,260.0936,14.38093,1.728659,1.281286,0.7301476,0.3065689,2,1,248.4299,0.8490052,187.0033,0.0,1,1,1,Normal
 31/12/2015 1:17:08 AM,2.425776,494.624,2,2,1,190.6562,8.563381,321.5073,2.448467,2,1,1,2,1,2,1,19.95646,2.201838,827.0316,1,2,1,1,1,2,148.808,149.0643,1.718515,600.0,1,2,1,1,2,7.761664,142.0661,260.2217,14.38093,1.727506,1.263097,0.7301476,0.3065689,2,1,248.2376,0.8490052,186.6989,0.0,1,1,1,Attack
 31/12/2015 1:17:09 AM,2.460366,494.31,2,2,1,190.6562,8.563381,321.738,2.448467,2,1,1,2,1,2,1,19.95646,2.19966,826.6711,1,2,1,1,1,2,148.808,149.0643,1.718515,600.0,1,2,1,1,2,7.761664,142.0661,260.2858,14.38093,1.726352,1.255284,0.7301476,0.3065689,2,1,248.1415,0.8490052,186.6989,0.0,1,1,1,Attack
 31/12/2015 1:17:10 AM,2.513211,493.6427,2,2,1,190.6562,8.561459,321.7893,2.448467,2,1,1,2,1,2,1,19.98848,2.198507,826.7512,1,2,1,1,1,2,148.808,149.0643,1.717233,600.0,1,2,1,1,2,7.761664,142.0661,260.2858,14.38093,1.726352,1.254259,0.7301476,0.3065689,2,1,248.1415,0.8490052,186.6989,0.0,1,1,1,Attack
 31/12/2015 1:17:11 AM,2.550364,492.5436,2,2,1,190.6562,8.558575,321.9944,2.448851,2,1,1,2,1,2,1,19.98848,2.195305,826.8713,1,2,1,1,1,2,148.808,149.0643,1.717105,600.0,1,2,1,1,2,7.761664,142.0661,260.2858,14.38093,1.728147,1.254003,0.7301476,0.3065689,2,1,248.1415,0.8490052,186.6989,0.0,1,1,1,Attack
 31/12/2015 1:17:12 AM,2.578548,491.6801,2,2,1,190.464,8.558575,322.0456,2.451671,2,1,1,2,1,2,1,19.98848,2.195305,827.0316,1,2,1,1,1,2,148.808,149.0643,1.716592,600.0,1,2,1,1,2,7.761664,142.0661,260.2858,14.38093,1.728147,1.262073,0.7301476,0.3065689,2,1,248.1415,0.8490052,186.6989,0.0,1,1,1,Attack
 31/12/2015 1:17:13 AM,2.578548,491.6801,2,2,1,190.464,8.558575,322.0456,2.451671,2,1,1,2,1,2,1,19.98848,2.195305,827.0316,1,2,1,1,1,2,148.808,149.0643,1.716592,600.0,1,2,1,1,2,7.761664,142.0661,260.2858,14.38093,1.728147,1.262073,0.7301476,0.3065689,2,1,248.1415,0.8490052,186.6989,0.0,1,1,1,Attack
 31/12/2015 1:17:14 AM,2.619543,490.6202,2,2,1,190.464,8.558575,322.3789,2.450389,2,1,1,2,1,2,1,19.98848,2.195305,827.352,1,2,1,1,1,2,148.808,149.0643,1.716592,600.0,1,2,1,1,2,7.761664,142.0661,260.2858,14.38093,1.728659,1.262329,0.7301476,0.3065689,2,1,248.1415,0.8490052,186.6989,0.0,1,1,1,Attack
 31/12/2015 1:17:15 AM,2.640361,489.5604,2,2,1,190.464,8.558575,322.3789,2.44757,2,1,1,2,1,2,1,20.00768,2.196714,827.2318,1,2,1,1,1,2,148.808,149.0643,1.716592,600.0,1,2,1,1,2,7.761664,142.0661,260.2858,14.38093,1.728659,1.262329,0.732068,0.3065689,2,1,248.1415,0.8490052,186.6989,0.0,1,1,1,Attack
